country,state,city,station,,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",,25.5626095,84.663264,SO2,8,10,9
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",,24.75746,84.366208,NO2,2,3,2
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",,25.42742023,86.13886079,NO2,32,117,68
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",,26.80365,84.51954,NH3,4,6,5
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",,26.80365,84.51954,OZONE,22,28,27
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",,25.251013,86.989001,SO2,40,69,55
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",,26.10887,91.589544,CO,8,54,20
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",,26.1875,91.744194,SO2,26,52,37
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",,26.181742,91.78063,NO2,NA,NA,NA
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",,26.181742,91.78063,SO2,NA,NA,NA
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",,26.349082,92.68449,PM10,25,163,83
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",,26.446912,91.439057,PM10,97,500,261
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",,25.265194,87.012947,SO2,22,55,43
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",,25.265194,87.012947,CO,25,61,37
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",,25.204762,85.51496,SO2,8,10,10
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",,25.56752,83.966379,PM2.5,7,263,93
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",,25.56752,83.966379,NO2,4,5,5
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",,25.7808257,84.7446768,PM2.5,38,220,104
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",,11.654054,92.734055,OZONE,4,65,50
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",,14.675886,77.593027,PM10,25,167,62
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",,14.675886,77.593027,NO2,25,43,30
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",,14.675886,77.593027,CO,14,18,18
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",,13.20488,79.097889,SO2,2,3,3
